epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.1947,2.60649,3.11792,2.55688,0.64876,0.53268,0.59954,0.43443,1.1015,1.15168,1.13472,1.785e-05,1.785e-05,1.785e-05
2,177.653,2.43484,2.98422,2.41501,0.57569,0.53694,0.57789,0.4245,1.14479,1.20791,1.16486,3.32379e-05,3.32379e-05,3.32379e-05
3,270.356,2.31607,2.73732,2.26539,0.63934,0.50042,0.58239,0.40732,1.23779,1.26832,1.20788,4.48559e-05,4.48559e-05,4.48559e-05
4,366.015,2.06916,2.59641,2.0733,0.62389,0.51263,0.59428,0.3958,1.36771,1.3176,1.25331,5.27039e-05,5.27039e-05,5.27039e-05
5,457.44,1.97812,2.46282,1.97014,0.63505,0.49941,0.58276,0.35989,1.54511,1.38556,1.31769,5.6782e-05,5.6782e-05,5.6782e-05
6,548.673,2.01837,2.45345,1.97579,0.59388,0.51281,0.58666,0.33683,1.67241,1.44295,1.36672,5.70903e-05,5.70903e-05,5.70903e-05
7,634.443,1.96661,2.52884,1.92922,0.59967,0.50418,0.58287,0.30766,1.79281,1.5016,1.418,4.8314e-05,4.8314e-05,4.8314e-05
8,718.871,1.90872,2.45163,1.89469,0.61278,0.50646,0.57605,0.29324,1.87004,1.53546,1.45036,3.6533e-05,3.6533e-05,3.6533e-05
9,800.687,1.88647,2.43507,1.90614,0.57044,0.52022,0.58013,0.28464,1.91959,1.5583,1.47359,2.4752e-05,2.4752e-05,2.4752e-05
10,882.461,1.87288,2.4395,1.90555,0.58026,0.51835,0.57799,0.27389,1.94473,1.56304,1.48065,1.2971e-05,1.2971e-05,1.2971e-05
